id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1573722207024713728,1573722207024713728,2022-09-24 17:13:07 UTC,2022-09-24,17:13:07,+0000,1570787389576187907,yourtears24,your tears,,"I've been working overtime this week, leaving early in the morning and returning early again. because the first problem has not been completed and there is a new problem again. all this because of the damn Desorden  #desorden #hacker #BJORKA #지구에서23년_지성아_환영해",en,[],[],[],0,0,0,"['desorden', 'hacker', 'bjorka', '지구에서23년_지성아_환영해']",[],https://twitter.com/yourtears24/status/1573722207024713728,False,,0,,,,,,,,[],,,,
1573670315666067457,1573670315666067457,2022-09-24 13:46:55 UTC,2022-09-24,13:46:55,+0000,1425878565820637187,jungles5s,Sedekah Info,, https://t.co/lnKYb8jQKy  #hacker #Hackers #background #Bjorka,qme,[],['https://www.sedekahinfo.com/2022/09/hacker-background-di-hp-android.html'],[],0,0,0,"['hacker', 'hackers', 'background', 'bjorka']",[],https://twitter.com/Jungles5S/status/1573670315666067457,False,,0,,,,,,,,[],,,,
1573659286680776704,1573659286680776704,2022-09-24 13:03:05 UTC,2022-09-24,13:03:05,+0000,1124517245722349568,wahananewsdotco,Wahana News Official,,5 Cara Cek Akun Instagram Asli atau Palsu  https://t.co/JWfhyzILjg #Medsos #Bjorka #Hacker #AkunPalsu,in,[],['http://dlvr.it/SYwJG0'],[],0,3,0,"['medsos', 'bjorka', 'hacker', 'akunpalsu']",[],https://twitter.com/wahananewsdotco/status/1573659286680776704,False,,0,,,,,,,,[],,,,
1573645997519310848,1573645997519310848,2022-09-24 12:10:17 UTC,2022-09-24,12:10:17,+0000,1445458131115384841,midasbuy_id,midasbuy,,viral bgt nech #bjorka #hacker  https://t.co/VQvVbC1kSA,in,[],['https://piliruma.co.id/Berita/nasional/data-pribadi-dibol-bjorka-cak-imin-mengucapkan-selamat-tinggal-dari-wa-ini-mengerikan-banyak-pesan-yang-masuk/'],[],0,0,0,"['bjorka', 'hacker']",[],https://twitter.com/midasbuy_id/status/1573645997519310848,False,,0,,,,,,,,[],,,,
1573628320591364098,1573628320591364098,2022-09-24 11:00:02 UTC,2022-09-24,11:00:02,+0000,1331488801877749762,advkonstitusi,advokatkonstitusi,,Pada hari Sabtu (10/9/2022) peretas Bjorka kembali kembali menghebohkan masyarakat melalui  pengungkapan dan penyebarluasan data pribadi (doxing) milik sejumlah tokoh. #hacker #hackerbjorka #PeretasanDataPribadi #PerlindunganDataPribadi   https://t.co/OwnHSi54iu,in,[],['https://advokatkonstitusi.com/viral-serangan-doxing-bjorkanism-berikut-aturan-hukumnya/'],[],0,0,1,"['hacker', 'hackerbjorka', 'peretasandatapribadi', 'perlindungandatapribadi']",[],https://twitter.com/advkonstitusi/status/1573628320591364098,False,,0,,,,,,,,[],,,,
1573556586848481280,1573556586848481280,2022-09-24 06:15:00 UTC,2022-09-24,06:15:00,+0000,1313381114459820032,poskotaofficial,Poskota.co.id,,Kepolisian RI dilanda isu kebocoran data. Kali ini beredar Isu 23 juta data anggota Kepolisian bocor dan dijual di forum hacker.  #polisiRI #kebocorandata #dijual #forum #hacker #bjorka #kriminal    https://t.co/GaNv1QqVzV,in,[],['https://poskota.co.id/2022/09/24/beredar-isu-23-juta-data-anggota-kepolisian-bocor-dan-dijual-di-forum-hacker-polda-metro-jaya-membantah'],[],0,0,0,"['polisiri', 'kebocorandata', 'dijual', 'forum', 'hacker', 'bjorka', 'kriminal']",[],https://twitter.com/poskotaofficial/status/1573556586848481280,False,,0,,,,,,,,[],,,,
1573345657787912192,1573345657787912192,2022-09-23 16:16:50 UTC,2022-09-23,16:16:50,+0000,1288329937,westausehat,westausehat,,"#instagramdown #Bjorka #bjorkanism #hacker  Kalo ini benar,maka benar pula,klo semua ini hanya bertujuan untuk tambah cuan korupsi. Percuma goblok...!!! Mboros2i anggaran tok. Rombongan perusak bangsa,demi kekayaan diri sendiri.  Asu......!!!!!  https://t.co/Nn1gWm2FF0",in,[],[],['https://pbs.twimg.com/media/FdWliTVacAEUHK8.jpg'],0,0,0,"['instagramdown', 'bjorka', 'bjorkanism', 'hacker']",[],https://twitter.com/westausehat/status/1573345657787912192,False,,1,https://pbs.twimg.com/media/FdWliTVacAEUHK8.jpg,,,,,,,[],,,,
1573328958938304512,1573328958938304512,2022-09-23 15:10:29 UTC,2022-09-23,15:10:29,+0000,636763970,saif_bin_safwan,سيف محمد بن صفوان,,"من خلال سلسلة من الاختراقات البارزة سلط الجاني الذي لم يتم التعرف عليه بعد الضوء على الفجوات المتثاءبة في الدفاعات السيبرانية للدولة Bjorka, the Online #Hacker Trying To Take Down the Indonesian Government  https://t.co/QiwRrR3hxW",ar,[],['https://thediplomat.com/2022/09/bjorka-the-online-hacker-trying-to-take-down-the-indonesian-government/'],[],0,1,1,['hacker'],[],https://twitter.com/Saif_Bin_Safwan/status/1573328958938304512,False,,0,,,,,,,,[],,,,
1573265927365447680,1573265927365447680,2022-09-23 11:00:01 UTC,2022-09-23,11:00:01,+0000,1331488801877749762,advkonstitusi,advokatkonstitusi,,Seorang pemuda berinisial MAH (21) asal Madiun Jawa Timur diamankan oleh Tim Cyber Mabes Polri pada Rabu (14/09) karena diduga terkait dengan peretasan oleh hacker Bjorka yang viral saat ini. #hackerbjorka #KorbanSalahTangkap #KepolisianRI #hacker    https://t.co/qKKgbNCLyB,in,[],['https://advokatkonstitusi.com/polisi-salah-tangkap-hacker-bjorka-apa-upaya-hukum-yang-dapat-dilakukan-korban-salah-tangkap/'],[],0,0,0,"['hackerbjorka', 'korbansalahtangkap', 'kepolisianri', 'hacker']",[],https://twitter.com/advkonstitusi/status/1573265927365447680,False,,0,,,,,,,,[],,,,
1573214077803196417,1573214077803196417,2022-09-23 07:33:59 UTC,2022-09-23,07:33:59,+0000,857254266662039552,storyjatimcom,Story Jatim,,Terbongkar Dalang G30S PKI Sebenarnya Hacker Surveilance Bocorkan Dokumen  https://t.co/ZUFr0icVdA #G30SPKI #PKI #BjorkaSpirit #Bjorka #surveillance #hacker  https://t.co/OLBbSpa9wT,in,[],"['http://CIA.gov', 'https://www.storyjatim.com/nasional/pr-5594890700/terbongkar-dalang-g30s-pki-sebenarnya-hacker-surveilance-bocorkan-dokumen-ciagov']",[],0,0,0,"['g30spki', 'pki', 'bjorkaspirit', 'bjorka', 'surveillance', 'hacker']",[],https://twitter.com/storyjatimcom/status/1573214077803196417,False,,0,,,,,,,,[],,,,
