id,conversation_id,created_at,date,time,user_id,username,name,replies_count,retweets_count,likes_count,link,tweet_preprocessed,,,,,,,,,,,,,,,,
1545777991732450000,1545777991732450000,2022-07-09 14:32:47 UTC,7/9/2022,14:32:47,1257879765815410000,simnyajeno,pipin,14,44,49,https://twitter.com/simnyajeno/status/1545777991732457474,help rt pembobolan rekening bri banget bankbriid diperketat keamanannya masa data nasabahnya bocor dibobol a thread,,,,,,,,,,,,,,,,
1557166356654650000,1557166356654650000,2022-08-10 00:46:04 UTC,8/10/2022,0:46:04,146365198,sociogeeks_,Socio Geeks,1,2,7,https://twitter.com/sociogeeks_/status/1557166356654657536,akun mengalami kebocoran data per menit selama januari maret akun per menit april juni kuartal ii total akun mengalami kebocoran data sejak sebanyak juta akun bocor orang indonesia terkena dampak pembobolan data,,,,,,,,,,,,,,,,
1566041824937900000,1566034902084070000,2022-09-03 12:34:01 UTC,9/3/2022,12:34:01,468060786,rdhstr,Infidel,0,0,0,https://twitter.com/rdhstr/status/1566041824937906178,txtdrpemerintah ganti password kan pencegahan pembobolan akun pak kalau data bocor tanggung jawab dong,,,,,,,,,,,,,,,,
1569903405652490000,1569903405652490000,2022-09-14 04:18:33 UTC,9/14/2022,4:18:33,69183155,detikcom,detikcom,20,5,12,https://twitter.com/detikcom/status/1569903405652492288,mahfud md menanggapi aksi pembobolan data pejabat negara kini marak dilakukan hacker memastikan ada rahasia negara bocor,,,,,,,,,,,,,,,,
1569917141868220000,1569917141868220000,2022-09-14 05:13:08 UTC,9/14/2022,5:13:08,1495036394947110000,mediastatera,Statera Media siber,0,0,1,https://twitter.com/MediaStatera/status/1569917141868224513,sikapi aksi pembobolan data bjorka kata mahfud md ada rahasia negara bocor lewat stateranews,,,,,,,,,,,,,,,,
1570004872032030000,1570004866998860000,2022-09-14 11:01:45 UTC,9/14/2022,11:01:45,1172374203577660000,myedusolve,Si Paling Sertifikasi,1,0,2,https://twitter.com/myedusolve/status/1570004872032038917,banyaknya data bocor akibat ulah hacker memiliki risiko sangat tinggi adanya scam phising pembajakan akun online pribadi penyalahgunaan data pribadi akses pinjaman online profiling target politik iklan media sosial pembobolan layanan keuangan,,,,,,,,,,,,,,,,
1570022303395890000,1568619371848930000,2022-09-14 12:11:01 UTC,9/14/2022,12:11:01,1085490985382030000,bgbaebaee,bhagasee,1,0,0,https://twitter.com/bgbaebaee/status/1570022303395893248,kustalanilatif wedhusgmbl oppositel wkwkwkwk kocak tidur goa bang sudah seperti jamur kriminalitas data bocor pembobolan atm sms phising gak pernah dapat sms annoying soal judi selamat deh bang data dirinya aman semoga gak termasuk data bocor trus di salah gunakan,,,,,,,,,,,,,,,,
1570577536022870000,1570389468355230000,2022-09-16 00:57:19 UTC,9/16/2022,0:57:19,249549071,thetanaya,Thetanaya,0,0,0,https://twitter.com/Thetanaya/status/1570577536022876162,cnnindonesia jokowi ahli it ugm sudah benarmereka menasehati sesuai kepakaran soal pembobolan lebih baik data dibobol tingkat rendah artinya banyak data bisa bocor artinya jangan terjadi pengambil alihan akungadget bahaya buat pengguna internet seluruh indonesia,,,,,,,,,,,,,,,,
1571287876993790000,1571287876993790000,2022-09-17 23:59:57 UTC,9/17/2022,23:59:57,1346374027690920000,pakrwcom,pakrw.com,0,0,0,https://twitter.com/PakrwCom/status/1571287876993798148,berita trend pekan versi berasal sejumlah daerah jawa timur jatimnow trendingjatimnow pemuda hacker bjorka santritewas pondokgontor mahasiswimeninggal,,,,,,,,,,,,,,,,
1571287875387360000,1571287875387360000,2022-09-17 23:59:57 UTC,9/17/2022,23:59:57,1346374027690920000,pakrwcom,pakrw.com,0,0,0,https://twitter.com/PakrwCom/status/1571287875387367424,pengakuan pemuda madiun jual akun telegram bjorka menjadi pilihan pembaca sabtu jatimnow pilihanpembaca hacker bjorka rumahterbakar bltbbm,,,,,,,,,,,,,,,,
1571280851497020000,1571280851497020000,2022-09-17 23:32:02 UTC,9/17/2022,23:32:02,1323613782656990000,jatimnowdotcom,Jatimnow.com,0,0,0,https://twitter.com/jatimnowdotcom/status/1571280851497029633,berita trend pekan versi berasal sejumlah daerah jawa timur jatimnow trendingjatimnow pemuda hacker bjorka santritewas pondokgontor mahasiswimeninggal,,,,,,,,,,,,,,,,
1571275321588210000,1571275321588210000,2022-09-17 23:10:04 UTC,9/17/2022,23:10:04,1323613782656990000,jatimnowdotcom,Jatimnow.com,0,0,0,https://twitter.com/jatimnowdotcom/status/1571275321588219908,pengakuan pemuda madiun jual akun telegram bjorka menjadi pilihan pembaca sabtu jatimnow pilihanpembaca hacker bjorka rumahterbakar bltbbm,,,,,,,,,,,,,,,,
1571236200299780000,1571236200299780000,2022-09-17 20:34:36 UTC,9/17/2022,20:34:36,1506125038604660000,kazukotoru,Kazuko Toru,36,28,67,https://twitter.com/KazukoToru/status/1571236200299786240,apa benar bjorkanismo bikin twitter baru realbjorkanism realy realbjorkanism hacker bjorka bjorkanism bjorkanesian bjorxanism bjorkanismo,,,,,,,,,,,,,,,,
1571186206473590000,1571186206473590000,2022-09-17 17:15:57 UTC,9/17/2022,17:15:57,1569193605906180000,priskilaokta1,Priskilaokta,0,1,0,https://twitter.com/Priskilaokta1/status/1571186206473596928,menjadi tambang emas besar indonesia siap bersaing malming malamminggu jokowi bjorka hacker blinkapologizetodahyun bailavinijr biblebuild,,,,,,,,,,,,,,,,
1571168381231050000,1571168381231050000,2022-09-17 16:05:07 UTC,9/17/2022,16:05:07,219527452,suaramerdeka,suaramerdeka.com,1,0,1,https://twitter.com/suaramerdeka/status/1571168381231058946,hacker no diburu polisi identitas bjorka terbongkar bukan indonesia ini pengakuannya bjorka polisi informasi terduga hacker madiun data datapribadi twitter telegram pemerintah indonesia darktracer breachforum,,,,,,,,,,,,,,,,
1571168663012790000,1571168663012790000,2022-09-17 16:06:14 UTC,9/17/2022,16:06:14,219527452,suaramerdeka,suaramerdeka.com,0,0,0,https://twitter.com/suaramerdeka/status/1571168663012798464,simak cuitan lengkap bjorka bela pemuda asal madiun sebut dark tracer tipu pemerintah bjorka polisi informasi terduga hacker madiun data datapribadi twitter telegram pemerintah indonesia darktracer breachforum,,,,,,,,,,,,,,,,
1571139617537270000,1571139617537270000,2022-09-17 14:10:49 UTC,9/17/2022,14:10:49,1445458131115380000,midasbuy_id,midasbuy,0,0,0,https://twitter.com/midasbuy_id/status/1571139617537273856,viral banget nech bjorka hacker,,,,,,,,,,,,,,,,
1571142451720780000,1571142451720780000,2022-09-17 14:22:05 UTC,9/17/2022,14:22:05,21287066,beritajatimcom,beritajatim,0,0,3,https://twitter.com/beritajatimcom/status/1571142451720785926,agung jadi tersangka terkait hacker bjorka tetangga kaget madiun muhammad agung hidayatullah warga desa banjarsari kulon dagangan kabupaten madiun resmi jadi hukumkriminal bjorka hacker hackerbjorka madiun,,,,,,,,,,,,,,,,
1571366875589930000,1571366875589930000,2022-09-18 05:13:52 UTC,9/18/2022,5:13:52,1571137342286720000,cyabercassano,cyaber cassano,0,0,1,https://twitter.com/CyaberCassano/status/1571366875589939202,its enough to laugh seeing them insulting but you will never be able to when i start to get angry and attack you dont be surprised when i start moving hacker cassano bjorka anonymous,,,,,,,,,,,,,,,,
1571392868346130000,1571392868346130000,2022-09-18 06:57:09 UTC,9/18/2022,6:57:09,3315630354,videotribun,TRIBUN Video,0,0,0,https://twitter.com/VideoTRIBUN/status/1571392868346138628,tidak pandai bahasa inggris begini cara komunikasi mah hacker bjorka bjorka bjorkaism telegram komunikasi mah hacker madiun peretas klik selengkapnyagtgt,,,,,,,,,,,,,,,,
1571398909209250000,1571398909209250000,2022-09-18 07:21:09 UTC,9/18/2022,7:21:09,1252799572893510000,tribunlombokcom,TribunLombok.com,0,0,0,https://twitter.com/TribunLombokcom/status/1571398909209251841,mah pedagang es asal madiun mengaku sempat berkomunikasi hacker bjorka tengah viral mah menduga bjorka berada luar negeri mah viral bjorka hacker madiun polisi pedaganges,,,,,,,,,,,,,,,,
1571407202900130000,1571407202900130000,2022-09-18 07:54:07 UTC,9/18/2022,7:54:07,1252799572893510000,tribunlombokcom,TribunLombok.com,0,0,0,https://twitter.com/TribunLombokcom/status/1571407202900135936,penjual es madiun mengaku akun telegram miliknya bjorkanism dibeli hacker bjorka seharga dollar as bentuk bitcoin bjorka madiun polisi bitcoin dollar hacker jawatimur bjorkanism telegram,,,,,,,,,,,,,,,,
1571412316293560000,1571412316293560000,2022-09-18 08:14:26 UTC,9/18/2022,8:14:26,1252799572893510000,tribunlombokcom,TribunLombok.com,0,0,0,https://twitter.com/TribunLombokcom/status/1571412316293562369,nikita mirzani sempat memberikan komentar pedas bjorka kini sang hacker membalas nyinyiran wanita akrab disapa nyai tersebut nikitamirzani nyai bjorka hacker viral telegram twitter,,,,,,,,,,,,,,,,
